Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD DE TEMUCO,,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","S782 SERVICIO DE IMPRESIÓN Y FOTOCOPIADO, SEGÚN ET, PARA UND AT A LA INFANCIA MEMO N°13 Orden de Compra generada por invitación a compra ágil: 5060-761-COT24",Octubre/2024,1113840
I MUNICIPALIDAD LO BARNECHEA,El Rodeo N° 12.777,Lo Barnechea,Región Metropolitana de Santiago,"-33.35347625,-70.51996705555844",Adquisición Papel Impresión Resmas ,Octubre/2024,7299936
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","3.SP 98518 GESTION DAEM, ADQ.RESMAS OFICIO PARA USO ADMINISTRATIVO DAEM",Octubre/2024,284470
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Coyhaique,Región Aysén del General Carlos Ibáñez del Campo,"0,0",Orden de Compra generada por invitación a compra ágil: 1043-56-COT24. Adquisición de resmas carta y oficio. DAP XI Región de Aysén.,Octubre/2024,340221
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",80796 RESMAS DE CARTA ESCUELA ISLA DE MARCHANT DE CURICÓ  por invitación a compra ágil: 2440-1640-COT24,Octubre/2024,389011
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",83835 RESMAS DE PAPEL LICEO ZAPALLAR DE CURICÓ  por invitación a compra ágil: 2440-1581-COT24,Octubre/2024,427210
I MUNICIPALIDAD DE LEBU,LUIS CRUZ MARTINEZ S/N,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",Orden de Compra: 4535-65-CM24 Papel Fotocopia ,Octubre/2024,3827635
I MUNICIPALIDAD DE PENALOLEN,Avenida Grecia   Nº 8735  Región Metropolitana.,Peñalolén,Región Metropolitana de Santiago,"-33.4768306,-70.54176702562827", Adquisición de papel carta y oficio para abastecer a las unidades municipales. Orden de Compra: 2403-1406-CM24,Octubre/2024,13054300
I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Región de la Araucanía ,"-39.2834528,-72.22640737221154","Adquisición de papel Fotocopia tamaño Oficio y Carta para el Liceo Politécnico Villarrica, Fondos PIE",Octubre/2024,1346009
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SM. 781 RESMAS TAMAÑO OFICIO Y CARTA D-260 ESCUELA BÁSICA PROFESOR RAMÓN DEL RÍO compra ágil: 1195999-703-COT24,Octubre/2024,1516655
I MUNICIPALIDAD DE CURANILAHUE,Cardenio Avello 720,Curanilahue,Región del Biobío ,"-37.47802385,-73.34371280155563","ADQUISICION DE RESMAS DE PAPEL PARA ESCUELA E-776 PABLO NERUDA, FONDOS SEP",Octubre/2024,896546
I MUNICIPALIDAD DE SAN NICOLAS,ARTURO PRAT 175,San Nicolás,Región del Ñuble,"-36.5031992,-72.2132577",RESMAS DE PAPEL PARA FOTOCOPIADO DE MATERIAL DE LICEO POLIVALENTE SAN NICOLAS,Octubre/2024,3646458
I MUNICIPALIDAD DE SAN NICOLAS,,San Nicolás,Región del Ñuble,"-36.5031992,-72.2132577",ROLLO DE ETIQUETA ERMICA 50*100 IMPRESORA ZEBRA ZD220 Y ROLLO DE PAPEL PARA IMPRESORA EPSON MODELO TM T20II,Octubre/2024,1970640
I MUNICIPALIDAD DE TALCA,4 Norte	Nº 944,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",RESMA DE CARTA PARA BODEGA DE INSUMOS -Orden de Compra: 2292-1588-CM24,Octubre/2024,3103520
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SM 694 Y 695. RESMAS TIPO CARTA Y OFICIO. A-70 COT 1195999-709-COT24,Octubre/2024,1573478
I MUNICIPALIDAD PEDRO AGUIRRE CERDA,,Pedro Aguirre Cerda,Región Metropolitana de Santiago,"-33.4882382,-70.66398334128455",ADQUISICION DE RESMAS TAMAÑO CARTA Y OFICIO / DIRECCION / SOL. 1473.,Octubre/2024,1301860
SERVICIO DE VIVIENDA Y URBANIZACION III REGION,"CHACABUCO 520, PISO 3",Copiapó,Región de Atacama ,"10.416248866487607,-75.46444697041647",adq de resmas papel oficio y carta,Octubre/2024,5064521
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188","ADQUISICIÓN DE RESMAS DE PAPEL 300 TAMAÑO CARTA Y 150 OFICIO, ORD. N° 135, ESC. F-819, FONDOS SEP 90%",Octubre/2024,1916198
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,* ,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO SALUD,Octubre/2024,4029680
I MUNICIPALIDAD DE SAN PABLO,,San Pablo,Región de los Lagos ,"-33.446576500000006,-70.74205082203748",PAPEL FOTOCOPIA ESCUELAS RURALES,Octubre/2024,270368
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","1, SP. 98484, JUNJI, SALA CUNA MAGIA DE LOS RIOS, ADQ. RESMAS PAPEL TAMAÑO CARTA Y OFICIO.   Orden de Compra generada por invitación a compra ágil: 2280-1542-COT24",Octubre/2024,98996
Ilustre Municipalidad de Yerbas Buenas,,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA LICEO JUAN DE DIOS PUGA Orden de Compra generada por invitación a compra ágil: 3779-214-COT24,Octubre/2024,1005907
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Bulnes 897, pisos 9 y 10",Temuco,Región de la Araucanía ,"0,0",ADRIAN ULLOA - SERV. FOTOCOPIAS Y IMPRESIONES,Octubre/2024,17270
I MUNICIPALIDAD DE QUINTA DE TILCOCO,Miguel Cuadra #224,Quinta de Tilcoco,Región del Libertador General Bernardo O´Higgins,"-34.3545415,-70.9646122",SUMINISTRO DE FOTOCOPIAS E IMPRESIONES DAEM. SEP AC,Octubre/2024,210280
I MUNICIPALIDAD DE VALPARAISO,Avda. Argentina N°864,Valparaíso,Región de Valparaíso ,"-33.051604749999996,-71.60283796993087",Servicio de impresión – escáner - fotocopiado – tecnología,Octubre/2024,25000000
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51899/SEP/RESMAS TAMAÑO CARTA/ESCUELA LAS AMERICAS/BOS,Octubre/2024,834618
I MUNICIPALIDAD DE CALAMA,VICUÑA MACKENNA 2001,Calama,Región de Antofagasta ,"-22.4634382,-68.92573347389403",RESMA HOJAS TAMAÑO OFICIO M - 429,Octubre/2024,6961500
I MUNICIPALIDAD DE CALAMA,VICUÑA MACKENNA 2001,Calama,Región de Antofagasta ,"-22.4634382,-68.92573347389403",RESMA HOJAS TAMAÑO CARTA M - 429,Octubre/2024,6083280
I MUNICIPALIDAD DE CONSTITUCION,BODEGA MUNICIPAL: AV. SANTA MARIA S/N AL LLEGAR AV.MAC-IVER,Constitución,Región del Maule ,"-35.33069915,-72.41301029338945",RESMAS CARTAS Y OFICIO,Octubre/2024,3005976
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",85536   RESMA CARTA Y OFICIO BUENA CALIDAD ESCUELA PADRE ALBERTO HURTADO DE CURICÒ por invitación a compra ágil: 2440-1601-COT24,Octubre/2024,815138
I MUNICIPALIDAD DE HUALQUI,PATRICIO LYNCH 675,Hualqui,Región del Biobío ,"-36.97530075,-72.93833724820985",RESMAS CARTA Y OFICIO DIRECCION SALUD Orden de Compra: 4457-544-CM24,Octubre/2024,2991660
I MUNICIPALIDAD DE PARRAL,Balmaceda Nº 206 Esquina Pablo Neruda,Parral,Región del Maule ,"-36.1421057,-71.8228643",RESMAS DE PAPEL - SEP ARRAU MENDEZ 235,Octubre/2024,189791
I MUNICIPALIDAD DE QUILLOTA,Esmeralda Nº 625,Quillota,Región de Valparaíso ,"-32.8791368,-71.24676965340782",PAPEL DE IMPRESION LICEO COMERCIAL DE QUILLOTA,Octubre/2024,3071628
I MUNICIPALIDAD DE SALAMANCA,,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001","Orden de Compra generada por invitación a compra ágil: 3687-97-COT24, Adquisición de Resmas Tamaño Carta para Escuela de Tranquilla.- ",Octubre/2024,1666000
MUNICIPALIDAD DE HUALPEN,,Hualpén,Región del Biobío ,"-36.79237955,-73.0995497379248",Papel Fotocopia: 4152-1146-COT24,Octubre/2024,127247
SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,Gran Avenida Jose Miguel Carrera Nº3300,San Miguel,Región Metropolitana de Santiago,"0,0",Resmas tamaño carta y oficio,Octubre/2024,963686
SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,AVENIDA LO OVALLE 01895,Santiago,Región Metropolitana de Santiago,"-33.5080040827115,-70.67684777414608",ppv COMPRA DE RESMAS DE PAPEL PARA JORNADAS DE TRABAJO SERVICIOS LOCALES SOLICITUD 137/20592 Orden de Compra: 922-166-CM24,Octubre/2024,1360706
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,San Miguel,Región Metropolitana de Santiago,"0,0",Papel oficio multipropósito - compra ágil: 730377-23-COT24,Octubre/2024,737800
DIRECCION GENERAL DE GENDARMERIA DE CHIL,Sotomayor 728-A,Iquique,Región de Tarapacá  ,"-20.21062555,-70.1479498711087",Dirreg Tarapacá/RESMA DE PAPEL PARA LA D.R. DE TARAPACA,Octubre/2024,1223879
I MUNICIPALIDAD DE COLINA,AVENIDA COLINA Nº. 700.,Colina,Región Metropolitana de Santiago,"-33.20507605,-70.68392978874765",Compra de Resmas Carta y Oficio para dependencias Municipales,Octubre/2024,9942450
I MUNICIPALIDAD DE QUILICURA,"José Francisco Vergara #450, Municipalidad ",Quilicura,Región Metropolitana de Santiago,"-33.36876115,-70.7322304355435","Adquisición de  resmas de papel cara y oficio para Establecimientos Educacionales, Dependencias DEM; Financiamiento DEM.",Octubre/2024,3302976
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Talca,Región del Maule ,"0,0",RESMAS CARTA Y OFICIO,Octubre/2024,198861
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51844/SEP/RESMAS TAMAÑO OFICIO/COLEGIO LOS BOSQUINOS/JFM.,Octubre/2024,999749
DIRECCION DE LOGISTICA DE CARABINEROS,"GOROSTIAGA N° 360, VICTORIA IX REG.ARAUCANÍA",Victoria,Región de la Araucanía ,"0,0",ADQUISICIÓN DE RESMAS DE HOJA TAMAÑO OFICIO A FAVOR DE LA ZONA C.O.P. Y UNIDADES DEPENDIENTES. ,Octubre/2024,6898150
FUERZA AEREA DE CHILE COMANDO LOGISTICO,,Cerrillos,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825","001_70114/176547_ADQ., PAPEL FOTOCOPIA compra ágil: 3320-594-COT24",Octubre/2024,184997
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935",LICEO COMERCIAL B-43 COMPRAS DE RESMA CARTA Y OFICIO,Octubre/2024,1305430
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",84602  RESMA  TAMAÑO CARTA ESCUELA CATALUÑA DE CURICÒpor invitación a compra ágil: 2440-1494-COT24,Octubre/2024,898212
I MUNICIPALIDAD DE PENCO,O'Higgins # 500,Penco,Región del Biobío ,"-36.739382250000006,-72.99285203159288",PAPEL FOTOCOPIA CARTA Y OFICIO (P.849)Orden de Compra: 4494-796-CM24,Octubre/2024,941112
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,FACTURAR AL RUT 74.269.600-6 DAS SAN PEDRO DE LA PAZ. ,San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",OPI 20453 PAPEL FOTOCOPIA CARTA Y OFICIO ,Octubre/2024,1996756
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423", RESMAS DE PAPEL COLOR TAMAÑO CARTA - CONVENIO BUENAS PRACTICAS CECOSF NVO. HORIZONTEOrden de Compra generada por invitación a compra ágil: 2292-703-COT24,Octubre/2024,48992
I MUNICIPALIDAD DE TUCAPEL,"Diego Portales N°258, Huepil",Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",Papel Fotocopia D-1228,Octubre/2024,3862145
I MUNICIPALIDAD DE YUMBEL,,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",ADQUSIICION DE 100 RESMAS TAMAÑO CARTA Y 100 RESMAS TAMAÑO OFICIO PARA ESCUELA RERE,Octubre/2024,856800
ILUSTRE MUNICIPALIDAD DE CURARREHUE,,Curarrehue,Región de la Araucanía ,"-39.358481350000005,-71.58669951923649","RESMAS CARTA, MATERIAL OFICINA FARMACIA Y LABORATORIO",Octubre/2024,233568
ILUSTRE MUNICIPALIDAD DE CURARREHUE,AVDA. ESTADIO N°550,Curarrehue,Región de la Araucanía ,"-39.358481350000005,-71.58669951923649",ADQUISICIÓN DE 85 RESMAS DE PAPEL OFICIO PARA UNIDAD FINANZAS DSM CURARREHUE,Octubre/2024,321556
ILUSTRE MUNICIPALIDAD DE MACHALI,,Machalí,Región del Libertador General Bernardo O´Higgins,"-34.1826662,-70.65064599572574","Compra de resmas de papel para Liceo de Machalí, con cargo a Fondos SEP. Orden de Compra generada por invitación a compra ágil: 3177-96-COT24",Octubre/2024,509439
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",SERVICIO DE IMPRESIÓN Y FOTOCOPIADO ESTABLECIMIENTOS Y DAEM,Octubre/2024,2377982
Ilustre Municipalidad de Yerbas Buenas,,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA ESCUELA LUIS AMBROSIO CONCHA Orden de Compra generada por invitación a compra ágil: 3779-218-COT24,Octubre/2024,563013
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"-33.44309285,-70.6790567997322",M.H.V/PAPEL FOTOCOPIA CARTA,Octubre/2024,868402
UNIVERSIDAD DE LA SERENA,"Infante Nº979  1º Piso ,  La Serena",La Serena,Región de Coquimbo ,"-30.004276806906066,-70.8170684820114",Resmas Carta-Oficio,Octubre/2024,2788944
I MUNICIPALIDAD DE BULNES,Carlos Palacios  Nº 418,Bulnes,Región del Ñuble,"-36.7433463,-72.2984666",Papel tamaño oficio para proyecto riego,Octubre/2024,57560
I MUNICIPALIDAD DE LA PINTANA,"el olivar, n°02595 la pintana 47 de santa rosa ",La Pintana,Región Metropolitana de Santiago,"-33.58486085,-70.62965629405824",PAPEL DE IMPRESION  PROGRAMA LEY SEP LICEO AURELIA ROJAS BURGOS Orden de Compra: 2314-318-CM24,Octubre/2024,689843
I MUNICIPALIDAD DE LAGO RANCO,calle Concepción Nº655,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423","Orden de Compra: 3140-826-CM24, ADQUISICION RESMA DE PAPEL",Octubre/2024,666457
I MUNICIPALIDAD DE PANGUIPULLI,BERNARDO O'HIGGINS 	793	,,,"-39.641611,-72.3323027",ADQUISICIÓN DE RESMAS TAMAÑO OFICIO PARA BODEGA D.A.F.,Octubre/2024,801584
I MUNICIPALIDAD DE PUERTO MONTT,,Puerto Montt,Región de los Lagos ,"-41.471995449999994,-72.93720329261936","ADQUISICION DE RESMAS DE PAPEL ESCUELA RURAL LA PALOMA, FICHA 19769 ",Octubre/2024,790160
I MUNICIPALIDAD DE SAN FABIAN,21de Mayo s/n,* ,Región del Ñuble,"-36.5570512,-71.5507413",RESMAS PAPEL DESAMU,Octubre/2024,669899
ILUSTRE MUNICIPALIDAD DE MOLINA ,YERBAS BUENAS 1389,Molina,Región del Maule ,"-35.1132184,-71.2800644","ORDEN DE COMPRA DESDE 2298-67-LE23 - SUMINISTRO PARA EL MANTENIMIENTO DE PERIFERICOS DE IMPRESION, PROVISIÓN DE INSUMOS Y SERVICIO DE IMPRESION Y FOTOCOPIADO MES SEPTIEMBRE",Octubre/2024,4721158
MINISTERIO PUBLICO,2 NORTE Nº 781,Talca,Región del Maule ,"-12.04537295,-76.96950411388548","Orden de Compra: 696704-40-CM24, COMPRAS DE RESMAS OFICIO, ECOH",Octubre/2024,990080
COMANDO DE APOYO A LA FUERZA,Av. Collao N° 715 (Estadio Atlético Militar),Concepción,Región del Biobío ,"0,0",Servicio de impresiones y fotocopias a requerimiento ,Octubre/2024,6000000
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Villa Alemana,Región de Valparaíso ,"0,0",Compra Papel Oficio,Octubre/2024,70543
I MUNICIPALIDAD DE COLINA,AVENIDA COLINA Nº. 700.,Colina,Región Metropolitana de Santiago,"-33.20507605,-70.68392978874765",Compra de Resmas de Papel  para Programa FOMIL,Octubre/2024,1003202
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254", RESMAS TAMAÑO CARTA PARA ESCUELA RURAL MASHUE ORD. N°93 LEY S.E.P. Orden de Compra generada por invitación a compra ágil: 3335-1332-COT24,Octubre/2024,57477
I MUNICIPALIDAD DE LIMACHE,,Limache,Región de Valparaíso ,"-33.00074945,-71.26900073305762",Orden de Compra generada por invitación a compra ágil: 2211-1309-COT24 LIBRETAS Y PAPEL FOTOCOPIA SOL 553 DIDECO  ,Octubre/2024,218424
I MUNICIPALIDAD DE NINHUE,Arturo Prat 405,* ,Región del Ñuble,"-36.3926895,-72.39926491627112",ARCHIVADORES Y PAPEL OFICIO,Octubre/2024,310733
I MUNICIPALIDAD DE PITRUFQUEN,FCO. BILBAO N° 593 SEGUNDO PISO ,Pitrufquén,Región de la Araucanía ,"-38.98732085,-72.63743366656891","Resma de hoja, oficio y carta SA N°75 DAF",Octubre/2024,1402594
I MUNICIPALIDAD DE TUCAPEL,,Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",RESMAS DE HOJA CARTA  por invitación a compra ágil: 3309-478-COT24,Octubre/2024,12400
Ilustre Municipalidad de Lumaco,,Lumaco,Región de la Araucanía ,"-38.16528595,-72.90705579234537",Servicio de fotocopiado e Impresión para el Liceo Lumaco ,Octubre/2024,999600
Municipalidad de Gorbea,,Gorbea,Región de la Araucanía ,"-39.1023675,-72.6754981", RESMAS DE PAPEL PARA ESCUELA LICARAYEN,Octubre/2024,165862
